name,region,worlds
Elemental,Japan,"[45, 49, 50, 58, 68, 72, 90, 94]"
Gaia,Japan,"[43, 46, 51, 59, 69, 76, 92, 98]"
Mana,Japan,"[23, 28, 44, 47, 48, 61, 70, 96]"
Aether,North-America,"[40, 54, 57, 63, 65, 73, 79, 99]"
Primal,North-America,"[35, 53, 55, 64, 77, 78, 93, 95]"
Chaos,Europe,"[39, 71, 80, 83, 85, 97, 400, 401]"
Light,Europe,"[33, 36, 42, 56, 66, 67, 402, 403]"
Crystal,North-America,"[34, 37, 41, 62, 74, 75, 81, 91]"
Materia,Oceania,"[21, 22, 86, 87, 88]"
Meteor,Japan,"[24, 29, 30, 31, 32, 52, 60, 82]"
Dynamis,North-America,"[404, 405, 406, 407]"
NA Cloud DC (Beta),NA-Cloud-DC,"[3000, 3001]"
陆行鸟,中国,"[1167, 1081, 1042, 1044, 1060, 1173, 1174, 1175]"
莫古力,中国,"[1172, 1076, 1171, 1170, 1113, 1121, 1166, 1176]"
猫小胖,中国,"[1043, 1169, 1106, 1045, 1177, 1178, 1179]"
豆豆柴,中国,"[1192, 1183, 1180, 1186, 1201, 1068, 1064, 1187]"
한국,한국,"[2075, 2076, 2077, 2078, 2080]"
